ref.date,cambio_usd,cambio_eur,cambio_gbp,cambio_ars,cambio_jpy,juros_selic,juros_cdi,credito_agro,credito_industria_total,credito_construcao,credito_comercio,credito_transporte,credito_pessoa_fisica,spread_icc_juridica,spread_icc_fisica,veiculos_automoveis,veiculos_leves,veiculos_caminhoes,veiculos_onibus,consumo_gasolina,consumo_glp,consumo_oleo_combustivel,consumo_oleo_diesel,consumo_demais_derivados,consumo_alcool,consumo_eletricidade_comecial,consumo_eletricidade_residencial,consumo_eletricidade_industrial,consumo_eletricidade_outros,producao_bens_consumo,producao_bens_duraveis,producao_bens_nao_duraveis,producao_bens_capital,producao_transformacao,capacidade_instalada_industria,vendas_varejo,vendas_servicos,trab_caged,trab_pop_forca_trab,trab_pop_ocupada,trab_tx_desemprego,trab_hrs_trabalhadas_industria,trab_razao_vagas_desempregados,price_ipca,price_igp_m,price_ipc,price_incc,price_inpc,price_ipp,indice_commodity_agro,indice_commodity_metal,indice_commodity_energia,trab_menos_de_1_mes,trab_de_1_mes_a_menos_de_1_ano,trab_de_1_ano_a_menos_de_2_anos,trab_x2_anos_ou_mais,asset_MLCX,asset_ibrx100,asset_ifix,asset_ifnc,asset_imat,asset_imob,asset_indx,asset_smll,titulo_0_25ano,titulo_1ano,titulo_2ano,titulo_3ano,titulo_5ano,retorno_mensal
2014-09-01,2.3300045295195146,3.003427256237377,3.7996136383576826,0.2769740874117071,0.021689999763938515,10.9,10.82,26239,764358,115375,287235,132515,1361005,6.9,17.4,234533,47954,11213,2586,594,242,124,1123,129,429,7186,10576,14975,6158,133.6,160.1,127.4,120.6,122.8,81.3,96.19,101.96,41719249,99219,89532,6.9,103.2,6.09386102562462,0.57,0.2,0.49,0.15,0.49,0.95397986581249306,142.98,148.01,75.87,783.9753713290269,3751.5823778065064,1120.8329005671778,1155.9544497122824,-0.11323759791122712,-0.11245969288336699,0.005901917769443266,-0.1342635232422703,-0.04772003545517223,-0.13833208929904317,-0.040231806981901985,-0.09377481040127633,0.10990209958373753,0.11930021565281108,0.12402270389961435,0.12529369550645542,0.12524119593487415,0.010121573501037151
2014-10-01,2.443818146532232,3.100777268409729,3.9292818199504507,0.2884299985387109,0.022655909034338863,10.92,10.85,26249,769635,116454,289021,132605,1378381,6.86,17.44,242711,48677,12186,3275,609,235,112,1163,129,448,7615,11141,14929,6415,139.5,168.1,132.7,125.8,127,80.9,103.37,104.24,41702217,99355,89863,6.7,103,6.264618280446191,0.42,0.28,0.43,0.17,0.38,0.66271971064229,153.56,149.14,74.99,783.2134022620263,3577.6718435432954,1048.347776023325,1143.053623247729,0.011718634985130816,0.009483349284744147,-0.013352656461053547,0.03763119737273435,-0.006122575618635162,-0.0016537516537515895,0.04054983223755548,-0.015903079657241026,0.11427275954960785,0.1210702221763593,0.12361312628805272,0.12355794188025318,0.12209214700199317,0.010522592549257137
2014-11-01,2.5397600412368773,3.1674400091171266,4.012409973144531,0.29859750121831896,0.021878999937325717,11.15,11.09,26327,778253,117529,293862,134810,1390556,6.93,17.41,234777,45037,12167,2655,556,223,112,1029,132,430,7974,11382,15256,6338,127.1,148.4,122,113.6,115.5,80.8,104.68,102.23,41721565,99433,90116,6.6,101.1,6.357496246139855,0.51,0.98,0.65,0.44,0.53,1.06284716093368,159.39,155.67,78.94,783.0184848848534,3579.0435156773524,1049.009509249781,1143.016074948172,0.004093788500528772,0.0031149740107689894,-0.029562340458907932,0.05036252880558334,-0.02554995178599928,-0.02276492025178678,0.013356889370675917,-0.005248208910933139,0.11780684276570047,0.12310107181135352,0.12260457432497074,0.1198032982854525,0.11463208744260635,0.009183817530199256
2014-12-01,2.639721735664036,3.2524304389953613,4.125908644303031,0.30917434718297876,0.022105217222934185,11.58,11.51,27105,792489,118719,300271,139177,1416065,6.86,16.93,302913,50650,13697,2741,637,233,111,956,134,492,7856,11161,14648,6174,107.9,115.4,106.2,85,98.9,80.5,131.81,108.14,41139329,99516,90156,6.6,97.3,6.263547235285448,0.78,0.62,0.75,0.08,0.62,0.592067917173789,162.05,155.88,68.41,785.2627605249734,3585.807516649991,1050.7804187799775,1145.0745017482197,-0.08161924544707977,-0.08265427027640204,-0.017839823659074217,-0.08872687952998826,-0.02289522019563439,-0.10764561539454987,-0.04293892442662872,-0.07322332645790364,0.12224332539089713,0.12974662979708385,0.13041540715662198,0.12796604346340776,0.12284655533001645,0.010473981953792677
2015-03-01,3.1288826050965683,3.3910174058831255,4.684991297514542,0.35673826414605847,0.02599956500141517,12.58,12.53,27222,805842,117717,292451,144066,1445141,7.06,17.73,189859,36101,6503,2195,511,228,97,1017,128,473,7908,11098,14597,6116,114.9,144.7,107.8,105.6,108.1,80.2,96.98,100.82,41126742,100007,89038,8,98.2,5.140482916195866,1.32,0.98,1.41,0.62,1.51,1.86094642482189,175.44,171.11,69.15,1033.2124586763662,4383.460115693253,1265.578051511073,1382.8521834265123,-0.0049017617926442325,-0.005040817571976386,-0.015911845890961285,-0.005930313096871309,0.07114153138958357,0.05521017819062424,0.03640835955466293,0.009163236225459226,0.13555853219959937,0.1356236691782314,0.13456715027888436,0.1333652847174011,0.13159988224322575,0.010940714538704377
2015-04-01,3.040095415982333,3.28592726317319,4.5452681671489366,0.3430104580792514,0.025428636422888798,12.68,12.63,26697,806083,117325,294812,140960,1453221,7.14,17.96,179223,32402,5806,1940,528,229,82,994,125,510,7907,10890,14645,6110,105.3,126.2,100.3,90.2,100.9,79.8,93.21,95.75,41041961,100327,89289,8.1,95.9,5.050393977126894,0.71,1.17,0.61,0.46,0.71,0.339731614102123,171.26,166.85,67.29,919.371062772209,4718.072363733842,1426.9060380895191,1444.5297198076967,0.09422455202798496,0.09115006001494708,0.03667920720078954,0.09041631236575753,0.05925061234404616,-0.032437616674373726,0.03141754699232169,0.03028965895942437,0.13639440085345256,0.1343325274297781,0.1316078503624714,0.1294481615683082,0.1267110785159895,0.01002945936809474
2015-05-01,3.0542000248318626,3.4072714306059337,4.721166678837368,0.3413323816798982,0.02527999984366553,13.15,13.13,26537,812735,117447,294646,142799,1461804,7.11,18.21,175618,29338,6026,1711,485,223,79,941,124,471,7364,10542,14337,5916,110.1,123.9,106.8,87.7,106,79.3,96.8,97.48,40932597,100438,89269,8.3,96.1,4.910131815419547,0.74,0.41,0.72,0.95,0.99,0.115324437966913,171.9,169.74,71.53,922.5483565281752,4703.74345410031,1420.2205104497652,1441.4585101397358,-0.057245647392163534,-0.05471573450854472,0.014659356076331731,-0.08941635391949077,-0.053936120064720816,-0.05908487476767832,-0.018809178825353046,-0.023821987037336845,0.14092841415850546,0.13531325235444788,0.13051744460780126,0.12755298558562345,0.12435205420479255,0.010745463734736171
2015-06-01,3.107836365699768,3.490486361763694,4.83969090201638,0.34361363676461304,0.025130909190259197,13.58,13.57,26757,816474,116959,299731,141873,1469882,7.22,18.43,175261,29352,6211,1698,512,244,86,1020,125,502,7073,10113,14182,5852,107.7,106.1,108.1,83.7,105.3,79.2,91.11,96.08,40833735,100746,89322,8.4,94.9,4.82516321101724,0.79,0.67,0.82,1.84,0.77,0.344443544320061,175.76,162.38,71.53,922.8866029280032,4719.145455286527,1426.7820767278974,1445.6568107054081,0.008966880869995197,0.007656934216418776,0.030277805211845976,0.037472355824994974,-0.07035652964347039,-0.04689880918787748,0.00513604803616774,-0.012245534669682367,0.14353492648818256,0.141241271545483,0.1370126721778799,0.1332792371178083,0.12829432412182495,0.011628908798940074
2015-07-01,3.2121499993584375,3.5330363403667104,4.995154575868086,0.3515013632449237,0.026044545525854283,13.69,13.68,27016,818855,117139,294730,143943,1475360,7.17,18.61,186995,32398,6515,1698,507,247,75,1007,134,502,6839,10111,13957,5870,114.4,121.5,112.7,86.4,109,78.8,93.48,97.08,40684378,100992,89344,8.7,92.6,4.6304314077910345,0.62,0.69,0.53,0.55,0.58,0.680328018888177,184.09,161.82,71.2,967.3923083178806,5072.744570633009,1576.6914163270653,1554.431322253689,-0.034853072302732824,-0.034407057727628865,0.007038878161675033,-0.040898351320732385,-0.04547824953283208,-0.0344426022422234,-7.471095062092648e-4,-0.03680709096651935,0.14414349249139274,0.1367895365433316,0.13223521673945324,0.13027318793361248,0.1288830420972883,0.012946484472512676
2015-08-01,3.5067227211865513,3.9064181826331397,5.462986360896718,0.37930273061448877,0.028494090942496605,14.15,14.13,27307,826944,117331,294032,146397,1486592,7.2,18.79,172630,27215,5836,1580,487,235,78,1018,127,500,7077,10313,14289,6127,117.6,126.6,115.5,79.1,111.3,78.3,93.3,97.22,40607058,101126,89279,8.9,91.5,4.511788053039627,0.22,0.28,0.22,0.59,0.25,1.28870826483476,193.41,169.74,72.45,965.7145846030447,5062.491742371756,1570.4166406002446,1549.848949466722,-0.08123857868020301,-0.08250605998491811,-0.008573915171954383,-0.10773173143613157,-0.011116422712407092,-0.11580367546352133,-0.03638423453679529,-0.0916040703811114,0.14320581495747672,0.14230966092269465,0.1418782884014957,0.14177714255103374,0.1418097423011614,0.012015207376900872
